app,compose_path,status,problem_category,fixed_this_run,blank_fields,main_image,metadata_version,updateAt,source_or_evidence,notes
qBittorrent,Apps/qBittorrent/docker-compose.yml,ok,,,,ghcr.io/hotio/qbittorrent:release-5.0.4,release-5.0.4,2025-02-18,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Radarr,Apps/Radarr/docker-compose.yml,fixed_this_run,version_image_mismatch_after_upstream_merge,version/updateAt/releaseNotes 对齐主镜像 linuxserver/radarr:6.1.1,,linuxserver/radarr:6.1.1,6.1.1,2026-03-26,https://github.com/Radarr/Radarr/releases/tag/v6.1.1.10360,
RagFlow,Apps/RagFlow/docker-compose.yml,ok,,,,icewhaletech/ragflow:v0.21.1,v0.21.1,2025-10-23,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
RDTClient,Apps/RDTClient/docker-compose.yml,ok_with_intentional_blank_fields,blank_link_fields_intentional,未改动；无可信官方来源时保留为空字符串,website,rogerfar/rdtclient:2,2,2024-06-11,local metadata policy and full link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Readarr,Apps/Readarr/docker-compose.yml,ok,,,,linuxserver/readarr:0.3.10-develop,0.3.10-develop,2023-12-05,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Resilio-sync,Apps/Resilio-sync/docker-compose.yml,ok,,,,linuxserver/resilio-sync:2.7.3,2.7.3,2024-06-14,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
RetroArch,Apps/RetroArch/docker-compose.yml,ok,,,,inglebard/retroarch-web:latest,latest,2025-08-06,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
RomM,Apps/RomM/docker-compose.yml,ok,,,,rommapp/romm:4.0.1,4.0.1,2025-07-26,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Sabnzbd,Apps/Sabnzbd/docker-compose.yml,ok,,,,linuxserver/sabnzbd:4.1.0,4.1.0,2023-09-26,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Sickchill,Apps/Sickchill/docker-compose.yml,ok,,,,linuxserver/sickchill:2023.6.27,2023.6.27,2023-06-28,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Siyuan-Note,Apps/Siyuan-Note/docker-compose.yml,ok,,,,b3log/siyuan:v3.0.1,v3.0.1,2024-02-27,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Smokeping,Apps/Smokeping/docker-compose.yml,ok,,,,linuxserver/smokeping:2.8.2,2.8.2,2021-08-10,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Snapdrop,Apps/Snapdrop/docker-compose.yml,ok,,,,linuxserver/snapdrop:version-eac78009,version-eac78009,2023-11-27,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Sonarr,Apps/Sonarr/docker-compose.yml,fixed_this_run,version_image_mismatch_after_upstream_merge,version/updateAt/releaseNotes 对齐主镜像 linuxserver/sonarr:4.0.17,,linuxserver/sonarr:4.0.17,4.0.17,2026-05-04,https://github.com/Sonarr/Sonarr/releases/tag/v4.0.17.2967,
StableDiffusionWebUI,Apps/StableDiffusionWebUI/docker-compose.yml,ok_with_intentional_blank_fields,blank_link_fields_intentional,未改动；无可信官方来源时保留为空字符串,website,johnguan/stable-diffusion-webui:latest,latest,2024-03-11,local metadata policy and full link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Stremio,Apps/Stremio/docker-compose.yml,ok,,,,tsaridas/stremio-docker:v1.2.5,v1.2.5,2025-10-19,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Sure,Apps/Sure/docker-compose.yml,ok,,,,ghcr.io/we-promise/sure:0.6.5-hotfix.1,0.6.5-hotfix.1,2025-12-03,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
SwingMusic,Apps/SwingMusic/docker-compose.yml,ok,,,,ghcr.io/swingmx/swingmusic:v1.4.8,v1.4.8,2024-02-26,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Syncthing,Apps/Syncthing/docker-compose.yml,ok,,,,linuxserver/syncthing:1.29.7,1.29.7,2025-06-02,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Tailscale,Apps/Tailscale/docker-compose.yml,ok,,,,tailscale/tailscale:v1.90.8,v1.90.8,2025-11-19,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
TaskingAI,Apps/TaskingAI/docker-compose.yml,ok,,,,taskingai/taskingai-console:v0.3.0,v0.3.0,2024-06-03,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Tautulli,Apps/Tautulli/docker-compose.yml,ok,,,,linuxserver/tautulli:2.13.2,2.13.2,2023-10-26,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Teable,Apps/Teable/docker-compose.yml,ok,,,,teableio/teable:latest,latest,2026-01-14,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Threadfin,Apps/Threadfin/docker-compose.yml,ok_with_intentional_blank_fields,blank_link_fields_intentional,未改动；无可信官方来源时保留为空字符串,website,fyb3roptik/threadfin:latest,latest,2024-01-25,local metadata policy and full link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Transmission,Apps/Transmission/docker-compose.yml,ok,,,,linuxserver/transmission:4.0.4,4.0.4,2023-08-28,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Trilium,Apps/Trilium/docker-compose.yml,ok,,,,triliumnext/trilium:v0.99.3,v0.99.3,2025-10-22,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
TurboDiffusion_Nvidia,Apps/TurboDiffusion_Nvidia/docker-compose.yml,ok_with_intentional_blank_fields,blank_link_fields_intentional,未改动；无可信官方来源时保留为空字符串,website,icewhaletech/turbodiffusion:20260312,20260312,2026-04-04,local metadata policy and full link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Twingate,Apps/Twingate/docker-compose.yml,ok_with_intentional_blank_fields,blank_link_fields_intentional,未改动；无可信官方来源时保留为空字符串,repo,twingate/connector:1,1,2024-01-26,local metadata policy and full link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Unifi-controller,Apps/Unifi-controller/docker-compose.yml,ok,,,,linuxserver/unifi-controller:8.0.7,8.0.7,2024-02-20,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Unifi-Network-Application,Apps/Unifi-Network-Application/docker-compose.yml,ok,,,,lscr.io/linuxserver/unifi-network-application:latest,latest,2024-01-29,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
UptimeKuma,Apps/UptimeKuma/docker-compose.yml,ok,,,,louislam/uptime-kuma:1.23.16-alpine,1.23.16-alpine,2025-07-08,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
V2rayA,Apps/V2rayA/docker-compose.yml,ok,,,,mzz2017/v2raya:v2.2.6.7,v2.2.6.7,2025-03-27,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Vaultwarden,Apps/Vaultwarden/docker-compose.yml,ok,,,,vaultwarden/server:1.32.7,1.32.7,2024-12-20,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
VirtualMachineManager,Apps/VirtualMachineManager/docker-compose.yml,ok,,,,mber5/virt-manager:latest,latest,2024-05-28,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
VoceChat,Apps/VoceChat/docker-compose.yml,ok,,,,privoce/vocechat-server:v0.3.33,v0.3.33,2025-05-28,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Wallabag,Apps/Wallabag/docker-compose.yml,ok,,,,wallabag/wallabag:2.6.13,2.6.13,2025-06-04,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
WebDav,Apps/WebDav/docker-compose.yml,ok_with_intentional_blank_fields,blank_link_fields_intentional,未改动；无可信官方来源时保留为空字符串,website,ugeek/webdav:amd64,amd64,2025-03-05,local metadata policy and full link scan,非空 website/repo/support/docs 链接已参与全量网络复核
WeKnora,Apps/WeKnora/docker-compose.yml,ok,,,,wechatopenai/weknora-ui:v0.2.14,v0.2.14,2026-01-30,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
WireGuardEasy,Apps/WireGuardEasy/docker-compose.yml,ok_with_intentional_blank_fields,blank_link_fields_intentional,未改动；无可信官方来源时保留为空字符串,website,ghcr.io/wg-easy/wg-easy:13,13,2024-05-20,local metadata policy and full link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Ztnet,Apps/Ztnet/docker-compose.yml,ok,,,,sinamics/ztnet:0.7.5,0.7.5,2025-06-05,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
